id,mag,type,source
AT2025abao,15.1,LRN,Rochester_Table_1
AT2025yiq,16.9,unk,Rochester_Table_1
AT2025zpb,16.9,unk,Rochester_Table_1
AT2025abtx,16.8,unk,Rochester_Table_1
AT2025abko,16.7,unk,Rochester_Table_1
AT2025abwt,16.7,unk,Rochester_Table_1
AT2025aaoc,16.6,unk,Rochester_Table_1
AT2025absq,16.9,unk,Rochester_Table_1
AT2025acfl,16.5,unk,Rochester_Table_1
AT2025aads,16.4,unk,Rochester_Table_1
AT2025abfn,16.4,unk,Rochester_Table_1
AT2025xje,16.2,unk,Rochester_Table_1
AT2025abne,15.8,unk,Rochester_Table_1
AT2025zoe,15.5,unk,Rochester_Table_1
AT2025zov,15.5,unk,Rochester_Table_1
AT2025zkf,16.5,unk,Rochester_Table_1
AT2025abnd,16.9,unk,Rochester_Table_1
